transaction_id,timestamp,amount,hour,customer_age,account_age_days,num_transactions,previous_chargebacks,previous_returns,device_type,payment_method,location,transaction_frequency,failed_payment_attempts,is_new_device,days_since_last_transaction,avg_transaction_amount,merchant_category,is_fraud
TXN-100000,2026-05-25 00:01:04.387296+00:00,35.58,20,62,197,16,0,2,desktop,debit_card,US-NY,1.64,2,0,6,39.49,digital_goods,0
TXN-100001,2026-05-25 03:35:59.387296+00:00,42.95,15,31,192,56,0,1,mobile,credit_card,GB-LON,1.69,0,0,27,55.75,subscriptions,0
TXN-100002,2026-05-25 03:56:54.387296+00:00,181.95,12,42,479,13,0,1,mobile,wallet,FR-PAR,2.82,3,1,28,91.62,subscriptions,0
TXN-100003,2026-05-25 09:07:40.387296+00:00,20.04,18,72,61,73,0,3,desktop,credit_card,DE-BER,0.56,0,0,1,16.52,grocery,0
TXN-100004,2026-05-25 12:05:24.387296+00:00,22.19,20,65,139,32,0,0,tablet,debit_card,DE-BER,2.63,0,1,3,47.76,fashion,0
TXN-100005,2026-05-25 13:01:37.387296+00:00,490.44,22,70,217,67,0,1,desktop,credit_card,GB-LON,0.44,0,0,1,219.24,fashion,0
TXN-100006,2026-05-25 15:10:17.387296+00:00,59.15,16,63,525,6,0,1,tablet,paypal,BR-SAO,4.53,0,0,4,27.79,electronics,0
TXN-100007,2026-05-25 15:41:26.387296+00:00,30.76,11,62,478,23,0,0,mobile,credit_card,FR-PAR,3.11,0,0,21,85.44,travel,0
TXN-100008,2026-05-25 16:53:05.387296+00:00,64.89,12,41,586,62,0,1,desktop,bank_transfer,US-CA,1.34,0,0,13,72.62,digital_goods,0
TXN-100009,2026-05-25 22:57:46.387296+00:00,37.93,10,42,245,3,0,0,desktop,credit_card,GB-LON,7.71,0,0,4,88.99,subscriptions,0
TXN-100010,2026-05-26 05:12:43.387296+00:00,79.13,21,47,83,13,0,1,mobile,paypal,AU-SYD,2.4,0,0,0,84.47,fashion,0
TXN-100011,2026-05-26 11:27:46.387296+00:00,95.19,13,66,244,96,0,2,desktop,paypal,BR-SAO,3.72,2,0,2,53.45,travel,0
TXN-100012,2026-05-26 12:42:49.387296+00:00,205.19,14,55,205,28,0,1,desktop,bank_transfer,GB-LON,5.43,0,0,2,79.73,travel,0
TXN-100013,2026-05-26 13:28:35.387296+00:00,73.11,10,42,347,16,0,0,desktop,debit_card,SG-SIN,3.35,1,0,4,54.05,grocery,1
